"","Model","Regression","Parameter","Mean","2.5% percentile","Median","97.5% percentile","Mode","SD","WAIC"
"70","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Age",0.156669446302628,0.0648432259885363,0.156160521043118,0.251422883093381,0.156167487692491,0.0475299229806391,257.17992202123
"71","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Mother's serostatus",1.4630016022912,0.552497658826158,1.46642444332663,2.35407166969558,1.46644419209078,0.458961479717638,257.17992202123
"72","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Social vulnerability",0.138264617896467,-0.32593815388953,0.138748770906208,0.599787546016863,0.138777121341728,0.235727008253643,257.17992202123
"78","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Host availability",-0.780144285030024,-1.42737968384508,-0.77931760941927,-0.137384031782196,-0.779239800106405,0.32792833458559,257.17992202123
"75","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Infected vector abundance",1.46118296896505,0.811006805401282,1.45158580773466,2.16873807397831,1.4524063345903,0.344387035190748,257.17992202123
"76","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Mobility",-0.183834103753495,-1.07497852291039,-0.180072282371367,0.68585474344463,-0.180081947493443,0.44831052061496,257.17992202123
"77","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Harmonic",0.172096590197014,-0.0284194086556992,0.171821181130968,0.374257025959213,0.171846186955009,0.102554602934576,257.17992202123
"79","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","iva:harmonic",-0.287143386352793,-0.444791521246386,-0.285509244886448,-0.139180027755517,-0.285625821222695,0.0776090395756049,257.17992202123
"73","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","Range for spatial field",588.707561071898,58.9501821574612,389.700624042035,2325.37135214117,158.829810467588,662.761155601476,257.17992202123
"74","infection3.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic + f(spatial.field, model = spde)","SD for spatial field",1.52167374378165,0.459802824750925,1.32618377447294,3.73276413060331,1.00232951754888,0.861815380807971,257.17992202123
"84","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Age",0.155264248553354,0.0643941340596729,0.154575120618981,0.250102797509346,0.154587215288074,0.0472983502859013,267.218949720572
"85","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mother's serostatus",1.57001699330218,0.681547501266022,1.56952950812938,2.46155490872016,1.56962748173195,0.453283068328999,267.218949720572
"86","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Social vulnerability",0.158188808325991,-0.291850712565778,0.157496593530467,0.612461179419413,0.157588098304465,0.229980583698128,267.218949720572
"87","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Host availability",-0.448593405286934,-1.07693092812008,-0.451764721906411,0.19848863173304,-0.451530447860743,0.324049322232447,267.218949720572
"80","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Infected vector abundance",0.402843727851303,0.195852945231334,0.402208532838028,0.613410839209435,0.402198409740683,0.106349740839083,267.218949720572
"81","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mobility",-0.229235152637773,-1.11987372588724,-0.224782519356335,0.636068520971353,-0.22479579852293,0.446916650755809,267.218949720572
"82","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Harmonic",0.00822984916100099,-0.182121423244866,0.0081852709225172,0.198862558055432,0.0081948699640304,0.0970151520904351,267.218949720572
"88","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Range for spatial field",348.496820486565,86.5828302202204,282.479377854784,1008.55757484807,190.747112495132,249.058674930019,267.218949720572
"89","infection3.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","SD for spatial field",2.03966758317236,0.684959969327467,1.84583857283584,4.51032268341278,1.49074011245021,0.997113894073266,267.218949720572
